요리명,요리재료내용,필수재료
어묵볶음,[재료] 어묵 2장| 양파 1/4개 정도| 다진마늘| 다진파 [양념] 간장 1T| 설탕 0.5T| 고추가루 0.5T| 참기름 0.5T,"어묵,양파,다진마늘,다진파"
두부조림,[재료] 두부 1모| 식용유 약간 [양념] 진간장 5스푼| 설탕 1/2스푼| 고춧가루 1스푼| 통깨 1/2스푼| 송송 썰은파 2스푼| 다진마늘 1/2스푼,"두부,식용유"
김치찌개,[재료] 김치 1/2포기| 포도씨유 1큰술| 깍두기국물 1/3컵| 대파| 두부| 물(멸치육수)| 참치 1캔 [양념] 설탕| 고춧가루| 다진 마늘 1큰술| 멸치육수,"김치,포도씨유,깍두기국물,대파,두부,물,참치"
제육볶음,[재료] 목살 600g| 양파 2개| 대파 1대| 청양고추 2개 [양념] 다진마늘 1큰술| 고춧가루 1큰술| 간장 1큰술| 설탕 1큰술| 올리고당 2큰술| 고추장 4큰술,"목살,양파,대파,청양고추"
육회,[재료] 소고기(앞다리/우둔/엉덩이) 1/2근| 배 1/3개| 쪽파 2대| 계란 노른자 1알 [양념장] 소금 1/2T| 설탕 1/2T| 국간장 1/2T| 참기름 1T| 매실액 1/2T| 다진마늘 1T| 통깨 1/2T,"소고기,배,쪽파,계란노른자"
감자채볶음,[재료] 감자(중) 2개| 양파(중) 1개| 당근 약간| 카놀라이유 약간| 통깨 약간 [양념] 소금 약간,"감자,양파,당근,카놀라이유,통깨"
주먹밥,[재료] 다진 호박 2T| 다진 빨강파프리카 2T| 다진 노랑파프리카 2T| 다진쇠고기 2T| 둥근햄 8장| 부추 1/2줌| 달걀 4개| 김 1장 | 밥 1공기| 굴소스 약간| 소금 약간,"다진호박,다진빨강파프리카,다진노랑파프리카,다진쇠고기,둥근햄,부추,달걀,김,밥,굴소스,소금"
감자조림,[재료] 감자 3개| 당근 1/2개| 양파 1개| 통마늘 5개| 검은깨 조금| 통깨 조금 [양념] 진간장 5T| 설탕 3T| 올리고당 1T| 물 2종이컵| 참기름 1T,"감자,당근,양파,통마늘,검은깨,통깨"
잡채,[재료] 당면 1봉지| 양파 2개| 당근 1개| 시금치 1묶음| 표고버섯 6개| 돼지고기(잡채용 등심) 200g [양념장] 간장 3T| 설탕 1/2T| 참기름 3T| 올리고당 1/2T| 후추 1/2t| 다진마늘 1T| 깨 1T [고기 밑간] 간장 2T| 설탕 1/2T| 참기름 1/2T| 다진마늘 1/2T| 후추 1/2t,"당면,양파,당근,시금치,표고버섯,돼지고기"
메추리알장조림,[재료] 메추리알 2판| 마늘 5쪽| 설탕 1.5T| 간장 1/3컵| 물 1컵,"메추리알,마늘,설탕,간장,물"
닭갈비,[재료] 닭 600g| 양배추| 감자(고구마) 2개| 당근| 양파 1개| 대파| 청양고추| 깻잎| 떡볶이떡 [양념] 고추장 3T| 고춧가루 3T| 간장 3~4T| 설탕 3T| 참기름 1T| 마늘 2~3T| 맛술(소주) 3T| 후추가루| 소금,"닭,양배추,감자,당근,양파,대파,청양고추,깻잎,떡볶이떡"
잡채,[재료] 당면 6인분| 시금치| 느타리버섯| 파프리카| 양파| 당근 [양념] 진간장 1/2컵| 물엿 or 꿀 1컵| 참기름 4스푼| 깨소금 2스품| 소금 1/2스푼| 다진 마늘 1스푼| 식용유,"당면,시금치,느타리버섯,파프리카,양파,당근"
해물찜,[해물찜 해물재료] 새우 10개| 오징어 1마리| 관자 3덩어리| 콩나물 1봉지 [육수재료] 멸치| 다시마 [양념재료] 전분 2큰술| 고춧가루 4큰술| 다진마늘 1큰술| 다진파 2큰술| 다진생강 1t| 소금 | 설탕 1t| 참기름 1~2방울,"새우,오징어,관자,콩나물,다시마"
나박김치,[재료] 배추잎 10장| 무 1/3개| 통마늘 5개| 당근 1/2개| 쪽파 1웅큼| 홍고추 2개 [양념재료] 고추가루 5스푼| 설탕 3스푼| 생강가루 1/2티스푼| 소금 3스푼반| 생수 2리터,"배추잎,무,통마늘,당근,쪽파,홍고추"
콩나물국,[콩나물 국 재료] 콩나물 1봉지| 청양고추 1개| 홍고추 1/2개| 대파 1대| 다진마늘 1t [멸치 육수 재료] 국물용 멸치 10개| 다시마 1개| 물 9컵 [양념 재료] 국 간장 1t| 꽃 소금 2/3T,"콩나물,청양고추,홍고추,대파,다진마늘,다시마,물,꽃소금"
콩나물국,[재료] 콩나물 300g| 물 4국그릇| 송송썬 파 1줌 [양념] 소금 2작은술| 다진마늘 1큰술| 고추가루 1큰술,"콩나물,물,송송썬파"
김치볶음밥,[재료] 밥 1공기| 김치 1/2공기| 스팸(베이컨) 1/2개| 계란 1개| 대파 1/2개 [양념] 설탕 1T| 고춧가루 0.5T| 간장 1T| 참기름 1T| 통깨 조금| 식용유 조금,"밥,김치,스팸,계란,대파"
콩나물무침,[재료] 콩나물 200g [양념] 고춧가루 1스푼반| 소금 1/3스푼| 통깨 1/2스푼| 송송썰은 파 2스푼| 다진마늘 1/3스푼| 들기름 1스푼,콩나물
잡채,[재료] 당면 200g| 돼지고기 등심 200g| 시금치 1/2단| 표고버섯 3개| 양파 1/2개| 당근 1/3개 [돼지고기 양념] 설탕 1큰술| 간장 2큰술| 청주 1큰술| 다진마늘 1/2큰술| 참기름 1/2큰술 [시금치 양념(시금치 한단 분량)] 참기름 1큰술| 통깨 약간| 다진마늘 1작은술| 국간장 1작은술 [당면 양념] 간장 4큰술| 설탕 2큰술| 참기름 1큰술| 다진마늘 1큰술| 통깨 약간 [마지막 양념] 간장 2큰술| 설탕 1큰술| 참기름 2큰술| 통깨 약간,"당면,돼지고기등심,시금치,표고버섯,양파,당근,간장,청주,다진마늘,참기름,통깨,다진마늘,국간장,설탕,참기름,다진마늘,통깨간장,설탕,참기름,통깨"
두부조림,[재료] 두부 290g [양념] 진간장 7스푼| 송송썰은파 3스푼| 다진마늘 1/3스푼| 참기름 1/2스푼| 통깨 1/3스푼| 고춧가루 1/2스푼| 설탕 1/2스푼| 물 50ml| 식용류 1스푼,두부
된장찌개,[재료] 된장 2스푼| 쌈장 2스푼| 두부 1/2모| 양파 1/3개| 대파 1줌| 땡초 4개| 호박 1/2줌| 다진마늘 1스푼| 고춧가루 1스푼| 대패삼겹살 9개,"된장,쌈장,두부,양파,대파,땡초,호박,다진마늘,고춧가루,대패삼겹살"
라볶이,[재료] 떡볶이 1컵| 오뎅 1컵| 라면 1봉지| 물 2~3컵 [라볶이소스] 설탕 3T| 고추장 1T| 간장 2T| 고춧가루 1.5T,"떡볶이,오뎅,라면,물,고추장,간장,고춧가루"
감자조림,[재료] 감자(중간크기) 3개| 양파 1/2개| 당근| 대파| 청양고추| 깨 [양념] 간장 3스푼| 다진마늘 1스푼| 올리고당 1스푼| 물 1컵(소주잔)| 참기름,"감자,양파,당근,대파,청양고추,깨"
김치찜,[재료] 김치 1/4포기| 돼지고기 200g| 대파 1/2줄기 [양념] 참기름 2T| 설탕 1T| 맛술 3T,"김치,돼지고기,대파"
제육볶음,[재료] 앞다리살 600g| 설탕 1.5| 미림 1| 당근 1/2개| 양파 1/2개| 파 고추장 2| 고춧가루 2| 간장 2| 다진 마늘 1| 굴 소스 1| 올리고당 1.5~2| 생강가루 약간,"앞다리살,설탕,미림,당근,양파,파고추장,고춧가루,간장,다진마늘,굴소스,올리고당,생강가루"
계란말이,[재료] 계란 4알| 물 50cc| 대파 1대| 소금 약간,"계란,물,대파,소금"
오이소박이,[재료] 오이 8개| 천일염 적당량 [양념] 부추 1/2단| 양파 1/2개| 홍고추 2개| 다진 마늘 1큰술| 멸치액젓 3큰술| 새우젓 2-3큰술| 깨 1큰술| 설탕 2큰술| 매실청 1큰술| 고춧가루 7큰술| 다진생강 약간,"오이,천일염"
무생채,[재료] 무(대) 1/2개| 송송썰은파 2스푼 [양념] 다진마늘 1/2스푼| 2배식초 1+1/2스푼| 참기름 1/2스푼| 설탕 1+1/2스푼| 고춧가루 2스푼| 소금 1/2스푼| 통깨 약간,"무,송송썰은파"
가지볶음,[재료] 가지 2개| 청양고추 1개| 대파 1대 [양념] 양조간장 3스푼(밥수저)| 설탕 1스푼(밥수저)| 매실액 1스푼(밥수저)| 다진마늘 1/2스푼(밥수저),"가지,청양고추,대파"
떡꼬치,[재료] 떡볶이 떡 30개| 나무꼬치 5개| 식용유 약간 [양념] 고추장 2T| 케찹 4T| 설탕 1T| 간장 0.5T| 다진마늘 0.5T| 후추 7번톡톡,"떡볶이떡,나무꼬치,식용유"
오이소박이,[재료] 피클오이 12개| 부추 1단 [양념] 고추가루 3/4컵| 새우젓 1/3컵| 설탕 2큰술| 다진마늘 2큰술| 다진생강 1/2큰술| 멸치육수(또는 물) 2/3컵,"피클오이,부추"
제육볶음,[제육볶음재료] 돼지고기앞다리살 1근| 양파 1개| 당근 1/3개| 마늘 1스푼| 파 약간| 고추 기호에맞게 [재육볶음양념장] 간장 2스푼| 물엿 1스푼| 매실액 2스푼| 고추장 1스푼| 고춧가루 2스푼| 후추가루 약간,"돼지고기앞다리살,양파,당근,마늘,파,고추기호에맞게간장,물엿,매실액,고추장,고춧가루,후추가루"
콩나물무침,[재료] 콩나물 340g| 당근 약간| 파 약간| 깨 약간 [양념] 국간장 1/2큰술| 천일염 1/4~1/3큰술| 설탕 1/3큰술| 참기름 1.5~2큰술| 다진마늘 1/2큰술| 고춧가루 (생략가능) 1/2~1큰술,"콩나물,당근,파,깨"
불고기,[재료] 소불고기 400g| 식용유 약간| 물 1/4cup| 후추 약간 [선택 재료] 송송 썬 쪽파 1대 [양념] 간장 3T| 물 2T| 설탕 2T| 청주 2T| 다진 파 1T| 다진 마늘 1T| 다진 생강 1/4T| 참기름 약간,"소불고기,식용유,물,후추송송썬쪽파"
잡채,[필수재료] 당면 1줌(120g)| 양파 1/2개| 당근 1/4개| 부추 1줌(30g)| 소고기 100g| 청주 1T [양념재료] 물 1/4cup| 간장 3T| 설탕 1T| 참기름 2T| 소금 약간 [선택재료] 목이버섯 1줌(30g),"당면,양파,당근,부추,소고기,청주"
된장찌개,[재료] 두부 1모| 고추 1개| 대파 1/2개| 양파 1/2개| 쌀뜨물 [양념] 된장 2큰술| 다진마늘 1큰술| 고추장 1큰술| 참기름 적당히| 고추가루 1/2큰술,"두부,고추,대파,양파,쌀뜨물"
찜닭,[재료] 닭 1마리| 감자| 당근| 양파| 당면| 후추 약간| 소주 약간 [양념] 간장 1컵| 물 1컵| 설탕 1/2컵| 소주 1/2컵| 다진마늘 1큰술| 다진파 1줌| 청양고추 2~3개| 참기름 약간,"닭,감자,당근,양파,당면,후추,소주"
연근조림,[재료] 연근 2개 (800g)| 식초 3T| 소금 1/2T [양념] 물 500cc| 간장 20T| 설탕 15T| 물엿 10T| 깨 약간,"연근,식초,소금"
콩나물국,[재료] 콩나물 200G(두줌정도)| 대파 1/3개| 청양고추 1개| 홍고추 1/2개 [양념] 다진마늘 1/2T| 새우젓 1T| 소금 약간| 물 6공기(밥공기기준),"콩나물,대파,청양고추,홍고추"
두부조림,[재료] 두부 1/2모| 대파 1/4개| 소금 3꼬집 [양념] 마늘 1/3수저| 진간장 2수저| 고춧가루 1수저| 올리고당 1/3수저| 참기름 약간| 깨소금 약간| 후추 약간| 물 1/3컵| 식용유 약간,"두부,대파,소금"
무생채,[재료] 무 600g| 대파 or 쪽파 1컵 [양념] 고춧가루 0.5컵| 설탕 0.5컵| 식초 1/3컵| 멸치액젓 or 소금 1/3컵| 다진 마늘 0.5컵,"무,대파"
갈치조림,[재료] 갈치| 무| 양파| 청양고추| 대파| 다시마 [양념] 간장| 설탕| 물엿| 고추가루| 다진마늘| 다진생강| 맛술| 후추,"갈치,무,양파,청양고추,대파,다시마"
연근조림,[재료] 연근 800g [양념] 물 2종이컵| 간장 14T| 맛술 2T| 설탕 3T| 올리고당 3T,연근
두부김치,[재료] 두부 1모| 신김치 1/4쪽| 삼겹살 250g| 양파 1개| 당근 약간| 대파 1대| 고추 2개 [양념] 설탕 1숟갈| 고춧가루 1+1/2숟갈| 진간장 3+1/2숟갈| 다진마늘 1숟갈| 참기름 약간,"두부,신김치,삼겹살,양파,당근,대파,고추"
잡채,[재료] 당면 200g| 시금치 1/2단| 양파 1개| 당근 1개| 느타리버섯 1/2팩| 납작 어묵 2개| 홍 피망 1/2개 [양념] 물 200ml| 간장 3큰술| 설탕 2+1/2큰술| 소금 1/2큰술| 포도씨유 2큰술| 참기름 3큰술| 후춧가루 약간| 통깨 1큰술,"당면,시금치,양파,당근,느타리버섯,납작어묵,홍피망"
떡볶이,[재료] 떡 2컵| 물 2컵| 파 1/2컵| 어묵 2장 [양념] 고추장 1T| 고춧가루 1T| 설탕 4T| 간장 2T,"떡,물,파,어묵"
감자조림,[재료] 감자(소) 10개| 물| 식용유| 다시마| 양조간장 3~4큰술| 설탕 2~3큰술| 조청 2~3큰술| 양파청 2큰술| 참기름| 깨소금,"감자,물,식용유,다시마,양조간장,설탕,조청,양파청,참기름,깨소금"
닭갈비,[재료] 닭다리살 500g| 생강가루 1t| 후추 1t| 소금 1t| 청주 1컵(소주잔)| 새송이버섯| 양파| 떡| 쪽파나부추| 피자치즈| 통깨 [양념] 다진마늘 1큰술| 고춧가루 2큰술| 고추장 2큰술| 간장 2큰술| 설탕 1큰술| 다진파 1큰술| 카레가루 1큰술| 후추 1t| 맛술 1큰술| 쥐똥고추 취향껏,"닭다리살,생강가루,후추,소금,청주,새송이버섯,양파,떡,쪽파나부추,피자치즈,통깨"
계란찜,[재료] 계란 3개| 대파 조금| [양념]| 소금 1작은수저| 설탕 조금| 참기름 1수저,"계란,대파,"
깻잎장아찌,[재료] 깻잎 100장| 진간장 1컵| 물 1컵| 설탕 1컵| 식초 1컵,"깻잎,진간장,물,설탕,식초"
된장찌개,[재료] 물 600ml| 다시멸치 6~7마리| 다진마늘 1/4스푼| 양파(소 )1개| 호박 1개| 감자 1개| 두부 1/2모| 청량고추 1개| 송송썰은파 1스푼 [양념] 된장 2+1/2스푼| 고춧가루 1/2스푼,"물,다시멸치,다진마늘,양파,호박,감자,두부,청량고추,송송썰은파"
떡볶이,[재료] 떡 1컵| 파 1/2컵| 물 2컵| 어묵| 라면 사리| 달걀 [양념] 고운 고춧가루 1큰술| 일반 고춧가루 1/2큰술| 간장 2큰술| 설탕 3~3.5큰술| 고추장 1큰술,"떡,파,물,어묵,라면사리,달걀"
주먹밥,[재료] 밥 작은 1공기(150g)| 잘게 다진 새우살 5개| 잘게 다진 당근 1/5개| 비엔나 소시지 9개| 식용유 1TS| 검은깨 또는 김 조금 [양념] 케찹 1TS| 간장 1ts| 올리고당 1/2ts,"밥작은,잘게다진새우살,잘게다진당근,비엔나소시지,식용유,검은깨"
고등어조림,[재료] 고등어 1마리(크기 작음)| 무 1/3개| 양파 1/2개| 대파 1뿌리| 청양고추 2개| 다진마늘 1T| 간장 3T| 고춧가루 2T| 올리고당 1T| 청주 1T,"고등어,무,양파,대파,청양고추,다진마늘,간장,고춧가루,올리고당,청주"
어묵볶음,[재료] 사각어묵 6장| 다진 마늘 1큰술| 양파 1/2개| 대파 1/2개| 식용유 3큰술| 간장 3큰술| 설탕 1+1/2큰술| 물 1/3컵(약 65ml)| 고춧가루 1큰술| 참기름 1큰술| 통깨 적당량,"사각어묵,다진마늘,양파,대파,식용유,간장,설탕,물,고춧가루,참기름,통깨"
순두부찌개,[재료] 순두부 1봉| 계란 1개| 팽이버섯 1/2개| 대파 1/2개| 청양고추 2개 [양념] 새우젓 1ts| 다진마늘 1ts| 멸치가루 1ts| 고추가루 1T| 들기름 1T| 고추기름 1T| 굵은 소금 1/2ts,"순두부,계란,팽이버섯,대파,청양고추"
콩나물무침,[재료] 콩나물 1봉지| 대파(또는 쪽파) 1/6대| 당근 1/5개 [양념] 고춧가루 2큰술| 다진 마늘 1/2큰술| 참기름 1큰술| 진간장 1큰술| 소금 입맛에맞게| 깨소금 적당량,"콩나물,대파,당근"
잡채,[재료] 당면 500g| 간장 1/3컵| 포도씨유 1큰술| 잡채용 소고기 2줌| 느타리버섯 1줌| 목이버섯| 피망 2개| 당근 1개| 양파 1개 [소고기 밑간] 간장 2큰술| 설탕 1큰술| 다진 마늘 1작은술| 후추 조금| 깨 조금| 참기름 1작은술 [양념] 다진마늘 1작은술| 간장 1/3컵| 설탕 1큰술,"당면,간장,포도씨유,잡채용소고기,느타리버섯,목이버섯,피망,당근,양파,설탕,다진마늘,후추,깨,참기름"
제육볶음,[재료] 돼지고기 600g| 양파 3개| 청량고추 5개| 대파 1뿌리 [양념] 고추장 1큰술| 고추가루 3큰술| 다진마늘 2큰술| 간장 1큰술| 매실액기스 2큰술| 돼지갈비양념 2큰술,"돼지고기,양파,청량고추,대파"
감자조림,[감자반찬재료] 감자 5개| 양파 1/2개| 마늘 1큰술| 청양고추 2개| 간장 4큰술| 물엿 1큰술| 고춧가루 2큰술| 참기름 1큰술| 식용유 1큰술?,"감자,양파,마늘,청양고추,간장,물엿,고춧가루,참기름,식용유"
계란말이,[재료] 계란 5알| 참치| 당근| 파,"계란,참치,당근,파"
무국,[재료] 무채 3줌| 대파 1줄기| 마늘 3개 [양념] 참기름 2T| 국간장 2T| 멸치액젓 1T| 소금 1/2스푼,"무채,대파,마늘"
닭볶음탕,닭볶음탕용닭 1마리| 양파| 당근| 감자| 대파| 청양고추| 간장 8| 고추장 4| 고추가루 3| 다진마늘 1| 청주| 올리고당 3| 후추 약간| ,"닭볶음탕용닭,양파,당근,감자,대파,청양고추,간장,고추장,고추가루,다진마늘,청주,올리고당,후추,"
어묵볶음,[재료] 어묵| 당근| 양파| 대파| 식용유 [양념] 간장 1T| 올리고당 1/2T| 설탕 1/2T| 깨 약간| 다진마늘,"어묵,당근,양파,대파,식용유"
잡채,[잡채재료] 당면 300g| 소고기(돼지고기) 300g| 당근 1/2개| 양파 1개| 노랑파프리카 1/2개| 빨강파프리카 1/2개| 느타리버섯 1팩| 시금치 1/2단| 목이버섯 4개| 다진파 2T [소고기밑간재료] 간장 1T| 생강술 1/2T| 설탕 1/2T| 마늘 1/2T| 후춧가루 약간| 다진파 1T [잡채 양념재료] 간장 적당량| 참기름 1~2T| 깨소금 2T| 설탕 2T [당면조리는양념] 진간장 1T| 올리고당 1T| 식용유 2T| 참기름 1T,"당면,소고기,당근,양파,노랑파프리카,빨강파프리카,느타리버섯,시금치,목이버섯,다진파,생강술,설탕,마늘,후춧가루,다진파,참기름,깨소금,설탕,올리고당,식용유,참기름"
육개장,[필수재료] 소 양지 300g| 콩나물(or숙주) 120g| 불린 고사리 100g| 느타리버섯 1줌(100g)| 대파 10cm 6개| 다시마 10cm 2개| 물 1L| 달걀 1개 [양념재료] 식용유 1T| 참기름 2T| 고춧가루 3T| 다진마늘 2T| 국간장 2T| 소금 1/2T| 후추 약간,"소양지,콩나물,불린고사리,느타리버섯,대파,다시마,물,달걀"
제육볶음,[재료] 돼지고기 불고기용 400g| 양배추 100g| 양파 1/2개| 대파 1개| 간장 1T| 맛술 1T| 다진 마늘 1T| 후춧가루 조금| 고춧가루 1T [양념] 고춧가루 2T| 고추장 1T| 간 양파 2T| 간장 1T| 다진 마늘 0.5T| 설탕 2T| 후춧가루 조금,"돼지고기불고기용,양배추,양파,대파,간장,맛술,다진마늘,후춧가루,고춧가루"
갈치조림,[재료] 갈치 6토막| 무 적당량| 양파 1/2개| 청양고추 1+1/2개| 대파 조금 [양념장] 고춧가루 3큰술| 고추장 1큰술| 간장 1큰술| 맛술 1큰술| 다진마늘 1큰술| 설탕 1큰술| 된장 1/2큰술| 다진생강 조금| 후추 톡톡,"갈치,무,양파,청양고추,대파"
깍두기,[재료] 무(중간크기) 5개| 굵은소금 1종이컵| 설탕 2/3종이컵 [밀가루 풀] 물 2컵| 밀가루 2T [김치양념] 새우젓 3T| 생강 1T| 다진 마늘 1컵| 액젓 1/2컵| 고춧가루 2/3컵| 소금 4T,"무,굵은소금,설탕,밀가루,생강,다진마늘,액젓,고춧가루,소금"
두부김치,[재료] 삼겹살 2줄| 김치 2~3컵| 두부 1모 [양념] 다진마늘 1스푼| 고춧가루 2스푼| 설탕 1스푼| 간장 4스푼| 깨 적당히| 참기름 약간,"삼겹살,김치,두부"
미역국,[재료] 미역 1/2컵(종이컵)| 물 7컵| 참기름 1큰술반| 국간장 2큰술| 다진마늘 1큰술| 소금 1/2큰술,"미역,물,참기름,국간장,다진마늘,소금"
